feature,gain
news2_score,409747.4908185741
gcs_total,236966.8573065918
pain_score,230879.9098228432
spo2,89159.96309107244
temperature_c,67539.89228669964
respiratory_rate,52426.78908094149
num_prior_ed_visits_12m,45156.683565803614
mental_status_triage,28541.00520478971
heart_rate,25593.406756535172
mean_arterial_pressure,21956.4811938975
diastolic_bp,17115.843255062027
systolic_bp,15613.723203659803
shock_index,14759.08702697847
n_abnormal_vitals,13132.851345652341
pulse_pressure,10655.707996048033
height_cm,8590.839688033611
bmi,7582.494126652926
weight_kg,7377.412920125574
age,7309.443373770267
chief_complaint_system,3958.552948901802
arrival_hour_sin,3694.993305733055
num_active_medications,3596.3206230565906
arrival_hour_cos,3577.9419968001544
num_comorbidities,3560.0463160581885
pain_location,3284.3178655810652
transport_origin,2725.737185806781
arrival_day,2631.0744006611408
language,2434.0350043661892
respiratory_rate_missing,2053.041874527931
arrival_mode,1819.0826137766242
