config_name,esi1_w,esi2_w,esi3_w,esi4_w,esi5_w,macro_f1,kappa,undertriage_rate,severe_undertriage_rate,overtriage_rate,esi1_f1,esi2_f1,esi3_f1,esi4_f1,esi5_f1,seconds,is_pareto_optimal
Mild,1.5,1.2,1.0,1.0,1.0,0.5571,0.6875,0.127,0.0039,0.1422,0.7044,0.6933,0.786,0.4437,0.1584,139.8,False
Mild+,2.0,1.5,1.0,1.0,1.0,0.5595,0.6878,0.1122,0.0033,0.1608,0.7061,0.7013,0.7765,0.443,0.1706,138.8,True
Moderate1,2.5,1.8,1.2,1.0,1.0,0.5474,0.682,0.1079,0.0032,0.1655,0.7054,0.7006,0.7779,0.3951,0.1583,146.2,False
Moderate2,3.0,2.0,1.0,1.0,1.0,0.5537,0.6807,0.0958,0.0027,0.1885,0.706,0.7019,0.7575,0.4419,0.1613,141.5,True
Moderate3,3.0,2.0,1.5,1.0,1.0,0.5366,0.6764,0.1105,0.0034,0.1612,0.7071,0.6968,0.7841,0.3269,0.168,136.3,False
Strong1,4.0,2.5,1.5,1.0,1.0,0.537,0.6741,0.097,0.0028,0.1812,0.706,0.701,0.7725,0.326,0.1796,144.8,False
Strong2,4.0,3.0,1.5,1.0,1.0,0.5339,0.668,0.0885,0.0025,0.1969,0.7053,0.7026,0.7598,0.3272,0.1748,136.0,False
Strong3,5.0,3.0,1.0,1.0,1.0,0.5474,0.6593,0.0773,0.002,0.2331,0.7052,0.691,0.7167,0.4436,0.1805,136.9,True
Strong4,5.0,3.0,2.0,1.0,1.0,0.5131,0.667,0.0994,0.0031,0.1778,0.7065,0.6992,0.7781,0.2284,0.1532,139.2,False
Strong5,5.0,4.0,2.0,1.0,1.0,0.5094,0.6583,0.0856,0.0027,0.2021,0.7045,0.7029,0.7595,0.2282,0.1521,134.4,False
Heavy1,6.0,4.0,2.0,1.0,1.0,0.5086,0.6581,0.085,0.0029,0.2035,0.7055,0.7012,0.7592,0.2273,0.1496,134.0,False
Heavy2,7.0,4.0,2.5,1.0,1.0,0.4976,0.6583,0.0948,0.0035,0.1869,0.7045,0.6992,0.7734,0.1634,0.1477,131.8,False
Heavy3,8.0,5.0,2.0,1.0,1.0,0.5058,0.6468,0.0744,0.0028,0.227,0.7054,0.6969,0.7396,0.2281,0.1592,135.7,True
Heavy4,8.0,5.0,3.0,1.0,1.0,0.4891,0.6548,0.0922,0.0034,0.1913,0.7056,0.701,0.7706,0.1268,0.1413,132.1,False
Extreme1,10.0,6.0,3.0,1.0,1.0,0.4848,0.6479,0.0827,0.0033,0.209,0.7061,0.7003,0.758,0.1216,0.1382,130.8,False
Extreme2,10.0,7.0,4.0,1.0,1.0,0.4819,0.6494,0.09,0.0036,0.1964,0.7063,0.7019,0.7666,0.0916,0.1429,130.0,False
Extreme3,12.0,8.0,4.0,1.0,1.0,0.4765,0.6434,0.0837,0.004,0.2091,0.7052,0.7012,0.7571,0.0929,0.1263,135.5,False
Extreme4,15.0,10.0,5.0,1.0,1.0,0.4741,0.6407,0.0839,0.0043,0.2096,0.7046,0.7008,0.7565,0.0819,0.1264,140.6,False
Max1,20.0,12.0,6.0,1.0,1.0,0.4651,0.6344,0.0843,0.0054,0.2113,0.7012,0.6991,0.7555,0.0739,0.0955,133.8,False
Max2,25.0,15.0,8.0,1.0,1.0,0.465,0.6353,0.0884,0.0059,0.2046,0.7022,0.6991,0.76,0.0721,0.0916,132.7,False
