multiplier,macro_f1,cohen_kappa,undertriage_rate,severe_undertriage_rate,overtriage_rate
1.0,0.5912,0.7017,0.1522,0.0057,0.1306
1.25,0.5771,0.6974,0.1248,0.0041,0.1594
1.5,0.5605,0.6867,0.105,0.0032,0.1854
1.75,0.5428,0.673,0.09,0.0024,0.2097
2.0,0.5251,0.6564,0.0786,0.002,0.2325
2.25,0.5074,0.6399,0.0691,0.0016,0.2538
2.5,0.4909,0.624,0.061,0.0014,0.2734
2.75,0.4743,0.6075,0.0543,0.0012,0.2921
3.0,0.4594,0.5912,0.0487,0.001,0.3096
3.25,0.4433,0.5749,0.0438,0.0009,0.3267
3.5,0.4288,0.5585,0.0397,0.0008,0.3432
3.75,0.414,0.5418,0.0361,0.0007,0.3586
4.0,0.4001,0.526,0.033,0.0006,0.3734
4.25,0.3876,0.5115,0.0301,0.0005,0.387
4.5,0.3752,0.4968,0.0278,0.0005,0.4001
4.75,0.3641,0.4829,0.0258,0.0004,0.4126
5.0,0.3536,0.4696,0.0238,0.0004,0.4246
